ID,Timestamp,Location,Waste Item,Disposal Bin,Confidence Level
001,06-01-2026 11:14:00,Cafeteria Bin 1,food_waste,Compost,94.2%
002,06-01-2026 11:32:00,Cafeteria Bin 3,aluminum_soda_cans,Garbage,97.1%
003,06-01-2026 12:08:00,Cafeteria Bin 2,plastic_water_bottles,Garbage,92.6%
004,06-01-2026 12:45:00,Cafeteria Bin 5,plastic_straws,Garbage,89.3%
005,06-02-2026 11:07:00,Cafeteria Bin 1,food_waste,Compost,91.8%
006,06-02-2026 11:51:00,Cafeteria Bin 4,paper_cups,Garbage,88.5%
007,06-02-2026 12:19:00,Cafeteria Bin 2,styrofoam_cups,Garbage,85.7%
008,06-02-2026 12:38:00,Cafeteria Bin 3,food_waste,Compost,96.4%
009,06-03-2026 11:22:00,Cafeteria Bin 5,plastic_food_containers,Garbage,82.3%
010,06-03-2026 11:44:00,Cafeteria Bin 1,disposable_plastic_cutlery,Garbage,90.1%
011,06-03-2026 12:03:00,Cafeteria Bin 4,aluminum_soda_cans,Garbage,96.8%
012,06-03-2026 12:57:00,Cafeteria Bin 2,food_waste,Compost,93.5%
013,06-04-2026 11:15:00,Cafeteria Bin 3,plastic_cup_lids,Garbage,87.2%
014,06-04-2026 11:39:00,Cafeteria Bin 1,cardboard_packaging,Garbage,63.4%
015,06-04-2026 12:11:00,Cafeteria Bin 5,food_waste,Compost,95.7%
016,06-04-2026 12:52:00,Cafeteria Bin 4,plastic_water_bottles,Garbage,91.0%
017,06-05-2026 11:08:00,Cafeteria Bin 2,food_waste,Compost,88.9%
018,06-05-2026 11:35:00,Cafeteria Bin 3,styrofoam_food_containers,Garbage,84.6%
019,06-05-2026 12:22:00,Cafeteria Bin 1,aluminum_soda_cans,Garbage,98.2%
020,06-05-2026 12:49:00,Cafeteria Bin 5,tea_bags,Compost,76.3%
021,06-08-2026 11:17:00,Cafeteria Bin 4,food_waste,Compost,92.1%
022,06-08-2026 11:43:00,Cafeteria Bin 2,plastic_straws,Garbage,91.5%
023,06-08-2026 12:06:00,Cafeteria Bin 3,paper_cups,Garbage,87.9%
024,06-08-2026 12:34:00,Cafeteria Bin 1,cardboard_boxes,Garbage,61.2%
025,06-09-2026 11:09:00,Cafeteria Bin 5,food_waste,Compost,97.3%
026,06-09-2026 11:28:00,Cafeteria Bin 2,plastic_food_containers,Garbage,79.8%
027,06-09-2026 12:14:00,Cafeteria Bin 4,disposable_plastic_cutlery,Garbage,86.4%
028,06-09-2026 12:51:00,Cafeteria Bin 3,aluminum_soda_cans,Garbage,95.6%
029,06-10-2026 11:21:00,Cafeteria Bin 1,food_waste,Compost,90.4%
030,06-10-2026 11:47:00,Cafeteria Bin 5,plastic_cup_lids,Garbage,83.7%
031,06-10-2026 12:09:00,Cafeteria Bin 2,steel_food_cans,Garbage,88.1%
032,06-10-2026 12:44:00,Cafeteria Bin 4,food_waste,Compost,94.9%
033,06-11-2026 11:05:00,Cafeteria Bin 3,plastic_water_bottles,Garbage,93.4%
034,06-11-2026 11:31:00,Cafeteria Bin 1,coffee_grounds,Compost,72.8%
035,06-11-2026 12:17:00,Cafeteria Bin 5,styrofoam_cups,Garbage,86.0%
036,06-11-2026 12:58:00,Cafeteria Bin 2,food_waste,Compost,91.6%
037,06-12-2026 11:12:00,Cafeteria Bin 4,paper_cups,Garbage,84.3%
038,06-12-2026 11:38:00,Cafeteria Bin 3,plastic_shopping_bags,Garbage,77.5%
039,06-12-2026 12:04:00,Cafeteria Bin 1,food_waste,Compost,96.1%
040,06-12-2026 12:41:00,Cafeteria Bin 5,aluminum_soda_cans,Garbage,97.8%
041,06-15-2026 11:19:00,Cafeteria Bin 2,cardboard_packaging,Garbage,58.6%
042,06-15-2026 11:46:00,Cafeteria Bin 4,food_waste,Compost,93.0%
043,06-15-2026 12:12:00,Cafeteria Bin 3,plastic_food_containers,Garbage,81.4%
044,06-15-2026 12:55:00,Cafeteria Bin 1,disposable_plastic_cutlery,Garbage,88.7%
045,06-16-2026 11:06:00,Cafeteria Bin 5,food_waste,Compost,95.2%
046,06-16-2026 11:33:00,Cafeteria Bin 2,plastic_straws,Garbage,90.8%
047,06-16-2026 12:20:00,Cafeteria Bin 4,aluminum_soda_cans,Garbage,96.5%
048,06-16-2026 12:48:00,Cafeteria Bin 3,eggshells,Compost,74.1%
049,06-17-2026 11:24:00,Cafeteria Bin 1,food_waste,Compost,92.7%
050,06-17-2026 12:36:00,Cafeteria Bin 5,plastic_water_bottles,Garbage,89.9%
051,06-20-2026 12:05:00,Cafeteria Bin 2,mixed_food_tray,Compost,18.4%
052,06-20-2026 12:41:00,Cafeteria Bin 4,greasy_pizza_box,Garbage,27.6%
